'NID', 'TITLE', 'UID', 'STATUS'
'1970-01-01 05:30:08', '', '1970-01-01 05:30:01', '1970-01-01 05:30:01'
'1970-01-01 05:30:09', '', '1970-01-01 05:30:01', '1970-01-01 05:30:01'
'1970-01-01 05:30:03', '', '1970-01-01 05:30:01', '1970-01-01 05:30:01'
'1970-01-01 05:30:04', '', '1970-01-01 05:30:01', '1970-01-01 05:30:01'
'1970-01-01 05:30:10', '', '1970-01-01 05:30:01', '1970-01-01 05:30:01'
'1970-01-01 05:30:11', '', '1970-01-01 05:30:01', '1970-01-01 05:30:01'
'1970-01-01 05:30:12', '', '1970-01-01 05:30:01', '1970-01-01 05:30:01'
'1970-01-01 05:30:13', '', '1970-01-01 05:30:01', '1970-01-01 05:30:01'
'8', 'Footer image', '1', '1'
'9', 'Main Banner 1', '1', '1'
'3', 'IT Technical Courses', '1', '1'
'4', 'Non-IT course', '1', '1'
'10', 'Book', '1', '1'
'11', 'Cake', '1', '1'
'12', 'Flower', '1', '1'
'13', 'Tshirt', '1', '1'
'8', 'Footer image', '1', '1'
'9', 'Main Banner 1', '1', '1'
'3', 'IT Technical Courses', '1', '1'
'4', 'Non-IT course', '1', '1'
'10', 'Book', '1', '1'
'11', 'Cake', '1', '1'
'12', 'Flower', '1', '1'
'13', 'Tshirt', '1', '1'
